uid,domainID,siteID,namedLocation,collectDate,analysisDate,isotopeH2OSampleID,isotopeH2OSampleCode,instrumentSN,d18OWater,d2HWater,d18OsdWater,d2HsdWater,isotopeH2OExternalLabQF,laboratoryName,analyzedBy,sampleCondition,externalRemarks,externalLabDataQF
"b151213d-0160-461c-a946-9958781e1b6a","D01","HOPB","HOPB.AOS.S2","2016-09-06","2016-10-12","HOPB.SS.20160906.H2O.1",,"HIDS2052",-8.14,-51.51,0.02,0.05,0,"SIRFER Lab at University of Utah","OlSmE6RRn5QQH8tvUHmK5i/poYiQr6sd","OK",,
"c4087d80-cad0-4ae0-9648-148287d400d9","D01","HOPB","HOPB.AOS.S2","2016-09-22","2016-10-12","HOPB.SS.20160922.H2O.1",,"HIDS2052",-7.16,-44.75,0.02,0.07,0,"SIRFER Lab at University of Utah","OlSmE6RRn5QQH8tvUHmK5i/poYiQr6sd","OK",,
