"uid","recorduid","domainID","siteID","namedLocation","collectedBy","startDate","collectDate","streamStage","streamStageUnits","handheldDeviceID","velocitySensorID","filterParamTime","stationEntryTest","flowCalculation","waterEdge","totalDischarge","totalDischargeUnits","samplingProtocolVersion","averageVelocityUnits","waterDepthUnits","tapeDistanceUnits","flowCalcQF","dischargeUnitsQF","streamStageUnitsQF","averageVelocityUnitsQF","waterDepthUnitsQF","tapeDistanceUnitsQF","lowVelocityFinalQF","dataQF"
"98a0316e-65c8-48c5-9436-7bc973649518","d6c7191f-ba53-4af1-8731-dd373bd3e596","D01","HOPB","HOPB.AOS.discharge","ADAVILA","2016-08-11T18:01Z","2016-08-11T18:01Z",0.06,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.01,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,0,NA
"1ee8c873-b528-464f-9fa4-b85f3cbde78f","cf30b3d6-d51d-49b3-bd4f-9bfb0b5edde4","D01","HOPB","HOPB.AOS.discharge","ADAVILA","2016-08-22T15:05Z","2016-08-22T15:05Z",0.06,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.03,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,0,NA
"55142e2e-32df-4974-8cae-a8d3653ae904","3fc24c1c-0297-4a1b-8a54-43e27d0cb378","D01","HOPB","HOPB.AOS.discharge","ADAVILA","2016-09-14T15:34Z","2016-09-14T15:34Z",0.09,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,0,NA
"e9a9caa5-4526-4ee7-9e39-7c7b1101793e","682f46f4-fc77-4603-9b48-9dcfe2e63334","D01","HOPB","HOPB.AOS.discharge","ADAVILA","2016-09-15T04:45Z","2016-09-15T04:45Z",0.09,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,0,NA
"92e69e08-49e4-4b84-ad70-546f73759a88","1f761424-4593-4e08-baaf-12cfda2cfe9b","D01","HOPB","HOPB.AOS.discharge","ADAVILA","2016-09-30T15:28Z","2016-09-30T15:28Z",0.1,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.01,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,0,NA
"bb687b78-d192-4c2a-b664-e6fe550c60b0","b34fdcd3-91f9-4247-97d6-bf3211b20fea","D01","HOPB","HOPB.AOS.discharge","ADAVILA","2016-10-11T19:18Z","2016-10-11T19:18Z",0.12,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.01,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,0,NA
"b3e5635b-0707-40f9-8aab-409c3ef68014","dc5415ea-e1a4-4df7-9be7-e6ad66e58d23","D01","HOPB","HOPB.AOS.discharge","ADAVILA","2016-11-01T14:21Z","2016-11-01T14:21Z",0.15,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.05,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,0,NA
"846a4d7a-bc9b-4522-ad08-92565dfff779","2a10c5ff-7f1c-46c9-bf6a-045b24159cda","D01","HOPB","HOPB.AOS.discharge","NFLANNERY","2016-11-10T18:16Z","2016-11-10T18:16Z",0.14,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.02,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,0,NA
"248815f4-d12e-4755-b2aa-cca272e06380","e476e3a3-8e58-4391-bd38-9600c2bb88d7","D01","HOPB","HOPB.AOS.discharge","ADAVILA","2016-11-23T15:47Z","2016-11-23T15:47Z",0.15,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.03,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,0,NA
"981d9d8b-adb5-4c88-8164-c1aed3c5b78f","3f6ade2b-37e5-4b70-b7a1-7ba919b0b51c","D01","HOPB","HOPB.AOS.discharge","ADAVILA","2016-12-07T16:37Z","2016-12-07T16:37Z",0.16,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.06,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,0,NA
"6388bfb4-e3d3-4bc7-a2c3-3ff5afc696be","3c539b9b-e501-4807-9708-354f9b3be345","D01","HOPB","HOPB.AOS.discharge","THILLMAN","2017-01-19T16:33Z","2017-01-19T16:33Z",0.26,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.14,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,3,NA
"ec1ad6fd-3925-40b5-9d6c-2e29075f6e91","553776b1-ef69-465d-bce1-ff30b35178c1","D01","HOPB","HOPB.AOS.discharge","ADAVILA","2017-02-01T16:19Z","2017-02-01T16:19Z",0.26,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.11,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,3,NA
"51c284ed-a06a-4da4-83b4-40d1730ef821","fe5883fc-950f-44dd-9a4e-81a93636a7f7","D01","HOPB","HOPB.AOS.discharge","THILLMAN","2017-02-01T16:45Z","2017-02-01T16:45Z",0.26,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.1,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,2,NA
"d874efea-bbbb-4823-9fcd-b9044431b536","d70cfd87-47f7-4e25-9e47-5964fb704478","D01","HOPB","HOPB.AOS.discharge","THILLMAN","2017-02-21T16:03Z","2017-02-21T16:03Z",0.28,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.11,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,0,NA
"620b6cfc-3ca8-417e-afc8-7a788e4cbbaa","b4055049-a617-49fa-9265-65b9184af553","D01","HOPB","HOPB.AOS.discharge","ADAVILA","2017-02-21T16:39Z","2017-02-21T16:39Z",0.3,"meter",130031001410,123100000557,10,"Non-fixed","Mean-section","Right edge water",0.15,"cubicMetersPerSecond","NEON.DOC.001085vC","meterPerSecond","meter","meter",1,1,0,0,0,0,0,NA
