"siteID","sampleID","collectDate","DIC","HCO3","Si","SO4","pH","TPN","Cl","CO3","NO2_N","TPC","UV_Absorbance_280_nm","Fe","DOC","Mn","TSS","TSS_Dry.Mass","K","Ca","TP","F","TOC","TDP","TDS","Mg","ANC","NO3_NO2_N","OrthoP","NH4_N","UV_Absorbance_250_nm","TDN","conductivity","Na","TN","Br","specificConductance"
"PRIN","PRIN.SS.20190610","6/10/19 15:48",81.07,334.69,9.5097,37.05,7.96,0.0723,76.5129,0.005,0,0.3032,0.0853,5e-04,4.092,0.021,2,100,3.719,100.317,0.4594,2.6982,4.157,0.0091,601.47,15.45,5.73,0.1036,0.033,0.0585,0.1248,0.4391,860.28,50.54,0.4715,0.005,NA
"BLDE","BLDE.SS.20180306","3/6/18 16:13",14.76,64.13,14.93,2.52,7.35,0.0948,7.31,0.005,0.0156,0.4334,0.0427,0,3.703,5e-04,NA,NA,1.374,12.541,NA,0.37,NA,0.066,96.9,4.49,1.09,0.0939,0.033,0,0.0604,0.1043,135.8,6.65,NA,0.005,NA
"BLDE","BLDE.SS.20180313","3/13/18 14:35",14.7,69.73,15.54,2.73,7.27,0.132,7.63,0.005,0.016,0.4992,0.0597,5e-04,2.254,5e-04,0,0,1.536,13.576,0.045,0.005,2.234,0.044,96.4,4.885,1.18,0.0847,0.062,0,0.0859,0.1421,136.8,6.824,0.1037,0.005,NA
"BLDE","BLDE.SS.20180403","4/3/18 15:48",18.32,61.02,13.5311,2.1844,7.29,0.1501,6.4463,0.005,0.0155,0.5292,0.0617,5e-04,6.018,5e-04,6,300,1.2253,13.1574,0.1149,0.005,8.224,0.0238,76.9,4.5019,1.25,0.0836,0.085,0,0.0935,1.076,112.4,3.4465,1.144,0.005,NA
"BLDE","BLDE.SS.20180501","5/1/18 15:28",12.52,25.97,11.1633,1.9313,7.5,0.0465,9.4599,0.005,0.0158,0.5008,0.0493,0.2932,7.997,5e-04,2,100,1.1722,9.5783,0.083,0.3062,6.654,0.0047,62.13,3.1055,0.563,0.0127,0.018,0.0241,0.066,0.4723,90.33,2.078,0.4742,0.005,NA
"BLDE","BLDE.SS.20180508","5/9/18 5:52",7.973,31.28,11.1041,1.3518,7.44,0.1133,4.3573,0.005,0.0152,0.6645,0.2499,0.3188,7.047,5e-04,12,600,1.0199,8.3549,0.0745,0.005,7.335,5e-04,49.61,2.6786,0.594,0.0045,0.018,0.0366,0.3628,0.4038,71.7,1.715,0.4534,0.005,NA
"BLDE","BLDE.SS.20180515","5/15/18 16:41",7.719,7.75,11.1337,0.8427,7.19,0.0698,15.2724,0.005,0.0156,0.4401,0.1668,0.1095,5.349,5e-04,2,100,0.8493,7.1727,0.1131,0.005,5.51,0.0399,45.69,2.4241,0.133,0.0057,0.018,0.0409,0.2448,0.3622,64.49,1.454,0.3608,0.005,NA
"BLDE","BLDE.SS.20180522","5/22/18 19:00",8.209,22.04,10.1087,0.5108,7.79,0,3.1668,0.005,0.0168,0.4827,0.1826,0.0632,5.611,5e-04,4,200,0.6796,5.7058,0.0705,0.005,6.914,0.034,30.83,1.8553,0.422,0.0041,0.042,0.0182,0.2638,0.3627,45.52,1.696,0.3898,0.005,NA
"BLDE","BLDE.SS.20180605","6/5/18 16:55",7.135,14.25,13.6025,0.12,7.5,0.0318,11.5223,0.005,0.0146,0.3792,0.1112,0.0054,3.622,5e-04,8,400,0.686,5.8258,0.062,0.7864,3.565,0.0298,42.896,2.723,0.25,0.0038,0.042,0.0064,0.1566,0.1277,61.28,1.567,0.1111,0.005,NA
"BLDE","BLDE.SS.20180612","6/12/18 18:21",9.038,23.56,14.5068,0.005,7.58,0.1468,9.8576,0.005,0.0143,0.4096,0.1006,0.0594,3.311,5e-04,0,0,0.707,6.1743,0.0048,0.005,NA,0.0251,47.194,2.992,0.42,0.0042,0.032,0.0162,0.1489,0.1265,67.42,2.03,NA,0.005,NA
"BLDE","BLDE.SS.20180619","6/19/18 16:30",8.517,51.06,16.2614,0.005,7.59,0.1678,0.12,0.005,0.0285,0.4415,0.151,0.1065,4.917,5e-04,4,200,0.916,8.0159,0.0268,0.005,5.894,0.0288,59.78,3.776,0.93,0.0304,0.035,0.0171,0.22,0.1564,85.4,2.346,0.1962,0.005,NA
"BLDE","BLDE.SS.20180710","7/10/18 18:05",10.12,42.39,16.03,2.337,7.7,0.1187,6.4853,0.005,0.0114,0.4477,0.0571,5e-04,2.238,5e-04,6,300,0.93,8.39,0.1,0.005,2.309,0.022,64.7,4.112,0.73,0.0019,0.035,0,0.0894,0.1993,90.21,2.909,0.1847,0.005,NA
"BLDE","BLDE.SS.20180717","7/17/18 17:55",10.98,43.12,15.28,0.72,7.46,0.1353,5.2362,0.005,0.0141,0.4687,0.0576,5e-04,2.076,5e-04,10,500,1.013,8.022,0.043,0.005,2.228,0.026,63.2,4.03,0.82,0.005,0.034,0.0257,0.0833,0.0867,91.63,2.966,0.1123,0.005,NA
"BLDE","BLDE.SS.20180807","8/7/18 18:45",12.06,64.3736,16.0531,1.176,7.61,0.0928,1.797,0.005,0.0169,0.3866,0.0483,5e-04,2.277,0.006,6,300,1.176,9.694,0.041,0.005,2.376,0.0341,74.15,4.873,1.12,0.0209,0.071,0.0377,0.07,0.1,105.21,3.654,0.1144,0.005,NA
"BLDE","BLDE.SS.20180814","8/14/18 17:33",12.47,64.57,16.7624,0.978,7.9,0.1086,0.005,0.005,0.0222,0.3698,0.0479,5e-04,2.237,5e-04,8,400,0.43,9.5438,0.0566,0.005,2.502,0.0345,74.55,5.059,1.25,0,0.038,0.0016,0.0712,0,105.23,3.679,0,0.005,NA
"BLDE","BLDE.SS.20180904","9/4/18 18:00",13.72,68.79,17.2353,1.284,8.04,0.0745,0.23,0.005,0.0206,0.3442,0.0442,5e-04,2.146,5e-04,6,300,0.47,10.6179,0.0489,0.652,1.947,0.0383,85.24,5.607,1.25,0.0099,0.033,0,0.0668,0.1071,121.21,4.182,0.1004,0.005,NA
"BLDE","BLDE.SS.20180917","9/17/18 15:46",13.78,70.95,15.8874,1.338,7.97,0.0559,1.03,0.005,0.0251,0.3266,0.0439,0.0014,2.487,5e-04,4,200,1.244,11.1142,0.023,0.005,2.225,0.0212,88.45,5.465,1.21,0.0068,0.068,0.0123,0.0641,0.1325,124.51,4.44,0.1248,0.005,NA
"BLDE","BLDE.SS.20181002","10/2/18 18:45",13.63,75.28,18.6047,1.212,8.06,0.0491,4.17,0.005,0.0249,0.3151,0.0486,0.0013,2.35,5e-04,6,300,1.471,12.8351,0.0529,1.49,2.301,0.0179,97.14,6.106,1.26,0.0402,0,0.0489,0.0714,0.0813,137.56,5.416,0.1169,0.005,NA
"BLDE","BLDE.SS.20181106","11/6/18 18:45",14.81,31.23,15.6272,1.872,7.97,0.0419,25.3984,0.005,0.0508,0.4708,0.0575,0,2.597,5e-04,4,200,5e-04,11.794,0.1382,0.2861,2.676,0.0177,84.56,5.896,0.63,0,0.024,0,0.0826,0.1459,119.5,4.758,0.2944,0.005,NA
"BLDE","BLDE.SS.20190130","1/30/19 18:55",15.22,104.53,25.61,3.7,7.76,0.1308,2.9,0.005,0.0574,0.3244,0.0403,5e-04,2.154,5e-04,8,400,2.086,19.343,0.052,2.78,2.507,0.042,141.24,7.617,1.95,0.0408,0.023,0.0616,0.061,0.3243,200.61,8.79,0.384,0.005,NA
"BLDE","BLDE.SS.20190205","2/5/19 18:30",14.41,92.63,23.97,3.315,7.9,0.1048,7.5737,0.005,0.0574,0.3151,0.042,5e-04,2.665,5e-04,6,300,1.994,17.4077,0.054,0.8035,2.474,0.0316,130.25,7.474,1.63,0.0268,0.097,0.0752,0.0627,0.2996,184.54,8.685,0.2694,0.005,NA
"BLDE","BLDE.SS.20190205.2","2/5/19 18:30",NA,NA,NA,NA,7.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,300,NA,NA,0.0571,NA,2.127,NA,NA,NA,1.75,NA,NA,NA,NA,NA,195.74,NA,0.2515,NA,NA
"BLDE","BLDE.SS.20190305","3/5/19 19:40",14.94,69.14,15.4935,2.349,7.95,0.084,3.2518,0.005,0.0399,0.3093,0.0763,5e-04,2.056,5e-04,2,100,1.184,12.8742,0.079,0.5369,2.277,0.0212,89.25,4.61,1.27,0.0415,0.072,0.0937,0.1131,0.2181,129.41,5.278,0.2326,0.005,NA
"BLDE","BLDE.SS.20190502","5/2/19 16:55",11.79,60.21,14.4273,2.754,7.78,0.1193,2.5866,0.005,0,0.3882,0.1668,0.0536,6.307,5e-04,0,0,1.429,11.905,0.1019,0.7768,6.509,0.0204,84.28,4.638,1.28,0.0137,0.042,0.0289,0.2411,0.2549,119.47,3.78,0.278,0.005,NA
"BLDE","BLDE.SS.20190507","5/7/19 18:20",10.03,48.52,11.9692,1.773,7.81,0.0836,0.1367,0.005,0,0.4062,0.1654,0.0494,6.394,5e-04,8,400,1.064,8.7769,0.206,1.0717,6.491,0.0391,62.71,3.44,0.85,0.0073,0.039,0.0251,0.2394,0.2522,88.15,2.868,0.2818,0.005,NA
"BLDE","BLDE.SS.20190520","5/20/19 18:35",7.556,10.18,11.9397,21.56,7.51,0.1236,1.05,0.005,0,0.4408,0.1528,0.0827,5.177,5e-04,8,400,0.771,6.4018,0.2943,0.005,5.608,0.0177,46.19,2.555,0.18,0.0159,0.052,0.0386,0.2234,0.238,65.18,2.036,0.2492,0.005,NA
"BLDE","BLDE.SS.20190528","5/28/19 19:11",8.174,18.42,12.314,14.69,7.54,0.086,0.5829,0.005,0,0.2988,0.1624,0.0648,5.584,5e-04,6,300,0.791,6.4486,0.0802,0.005,6.262,0.0239,45.69,2.53,0.37,0.0179,0.052,0.0628,0.2322,0.173,63.14,1.966,0.2165,0.54,NA
"BLDE","BLDE.SS.20190604","6/4/19 15:51",6.332,28.01,10.4559,0.615,7.6,0.15,1.122,0.005,0,0.449,0.1193,0.0144,4.448,5e-04,8,400,0.576,4.9059,0.0451,0.005,5.034,0.0282,35.67,2.065,0.52,0,0.04,0.0583,0.1722,0.172,51.69,1.651,0.1913,0.12,NA
"BLDE","BLDE.SS.20190610","6/10/19 16:59",7.535,29.47,11.5492,0.702,7.67,0.1763,2.8934,0.005,0,0.3263,0.1054,0.0359,3.683,5e-04,4,200,0.614,5.5717,0.1287,0.005,4.416,0.0189,39.56,2.332,0.62,0,0.04,0.0559,0.1557,0.2064,57.84,1.745,0.2407,0.005,NA
"BLDE","BLDE.SS.20190613","6/13/19 16:25",8.581,37.46,11.2736,0.699,7.6,0.1252,1.4036,0.005,0,0.3866,0.2242,0.037,5.213,0.001,10,500,0.699,6.8267,0.026,0.005,5.919,0.029,46.93,2.678,0.67,0,0.054,0.0672,0.3216,0.2004,67.41,1.899,0.2434,0.005,NA
"BLDE","BLDE.SS.20190613.2","6/13/19 16:25",NA,NA,NA,NA,7.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,600,NA,NA,0.028,NA,5.792,NA,NA,NA,0.69,NA,NA,NA,NA,NA,67.82,NA,0.2209,NA,NA
"BLDE","BLDE.SS.20190617","6/17/19 17:30",7.773,32.02,13.2341,1.947,7.87,0.1008,2.8792,0.005,0,0.3356,0.1348,0.0418,3.343,5e-04,2,100,0.858,6.4332,0.0312,0.2962,3.544,0.024,46.99,2.453,0.62,0.0107,0.036,0.0556,0.1965,0.1625,65.47,2.271,0.1625,0.005,NA
"BLDE","BLDE.SS.20190625","6/25/19 17:46",8.953,28.47,13.9453,2.514,8.12,0.1131,4.0538,0.005,0,0.4342,0.0947,0.0306,2.835,5e-04,4,200,0.925,7.2544,0.0646,2.2752,3.131,0.0312,53.16,2.805,0.52,0.0135,0.046,0.0818,0.1314,0.1155,74.38,2.562,0.173,0.005,NA
"BLDE","BLDE.SS.20190702","7/2/19 18:25",9.438,5.11,4.0707,6.075,6.88,0.1325,4.1181,0.005,0,0.2879,0.0809,0.4445,2.429,0.032,6,300,0.173,5.5544,0.0762,0.2702,2.578,0.0093,25.41,0.4,0.09,0.0133,0.046,0.0604,0.1229,0.0949,35.41,0.585,0.114,0.005,NA
"BLDE","BLDE.SS.20190708","7/8/19 15:42",9.82,35.01,14.428,2.187,7.63,0.1216,1.2426,0.005,0,0.2787,0.0699,0.0085,2.49,0.008,4,200,1.035,7.6469,0.1466,2.3049,2.36,0.026,53.09,2.982,0.69,0.0133,0.045,0.0423,0.1103,0.12,75.62,2.703,0.1291,0.005,NA
"BLDE","BLDE.SS.20190715","7/15/19 19:01",10.56,42.11,24.4306,0.438,7.54,0.142,4.8764,0.005,0,0.3062,0.0755,0.0135,2.419,5e-04,6,300,1.124,8.0071,0.2519,0.005,2.451,0.0508,59.35,3.163,0.72,0.0148,0.047,0.0639,0.1161,0.1349,83.67,3.088,0.1267,0.005,NA
"BLDE","BLDE.SS.20190805","8/5/19 18:19",11.85,33.69,22.65,0.93,7.29,0.0963,4.4,0.005,0,0.3257,0.0738,0.012,2.137,5e-04,8,400,1.167,8.122,0.301,2.86,2.681,0.035,61.7,3.327,0.62,0.0152,0.046,0.076,0.1091,0.0885,89.35,2.51,0.073,0.005,NA
"BLDE","BLDE.SS.20190812","8/12/19 18:39",12.45,44.38,22.81,1.06,7.55,0.1242,4.21,0.005,0,0.2897,0.068,0.021,2.423,0.002,4,200,1.165,8.93,0.118,0.38,2.598,0.03,68.7,3.6,0.8,0.0113,0.027,0.0038,0.1012,0.0782,96.14,2.432,0.0932,0.005,NA
"BLDE","BLDE.SS.20190904","9/4/19 18:58",12.75,58.92,26.8134,0.005,8.34,0.1102,2.4128,0.005,0,0.286,NA,0.0097,2.594,5e-04,66,3300,1.448,10.3433,0.2387,0.3908,2.157,0.0065,78.25,4.156,1.05,0.0084,0.078,0.0178,0.0984,0.11,NA,4.523,0.0828,0.005,110.58
"BLDE","BLDE.SS.20190916","9/16/19 17:05",13.38,64.56,14.19,1.8,8.01,0.1214,0.38,0.005,0,0.2376,0.0621,0.0079,2.465,5e-04,0,0,1.601,10.51,0.2957,0.005,2.571,0.0287,79.58,4.314,1.15,0.0086,0.051,0.0307,0.0876,0.1224,NA,4.386,0.1547,0.005,112.63
"BLDE","BLDE.SS.20191001","10/1/19 19:30",13.06,63.41,13.36,2.133,7.7,0.1398,1.01,0.005,0.0019,0.2689,0.0721,0.013,3.461,5e-04,6,300,1.388,10.62,0.092,0.005,2.678,0.01,78.54,4.24,1.08,0,0.029,0.0192,0.0993,0.0913,NA,4.156,0.1185,0.005,111.25
"BLDE","BLDE.SS.20191107","11/7/19 17:14",14.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0525,NA,NA,NA,NA,NA
"COMO","COMO.SS.20170110","1/10/17 18:30",3.786,19.23,8.2458,1.98,7.19,0.0772,0.19,0.005,0.011,0.3804,0.1168,0.145,3.461,0.007,0,0,0.29,3.76,0.003,5e-04,3.526,0.002,25.38,1.08,0.42,0.058,0.034,0.03,0.1562,0.2169,37.6,2.16,0.2393,0,NA
"COMO","COMO.SS.20170221","2/21/17 18:10",3.99,15.11,7.7131,3.3411,6.95,0.0884,0.8661,0.005,0.015,0.2738,0.1195,0.132,3.299,0.0138,0,0,0.257,3.5662,0.019,0.005,4.359,0.018,24.52,1.048,0.268,0.056,0.032,0.046,0.1656,0.0025,36.65,1.9532,0.1591,0.005,NA
"COMO","COMO.SS.20170315","3/15/17 18:00",4.158,8.854,7.7284,11.4412,7.2,0.0987,0.2642,0.005,0.013,0.3213,0.1469,1.8529,3.904,0.0025,0,0,0.2256,3.9813,0.011,0.005,3.999,0.001,27.69,1.0174,0.208,0.065,0.025,0,0.2052,0.2391,40.31,2.3946,0.2431,0.005,NA
"COMO","COMO.SS.20170412","4/12/17 17:32",3.101,19.79,5.66,1.77,7.19,0.0184,0.38,0,0.01,0.2984,0.2693,0.359,6.767,0.002,4,100,0.319,3.728,0.038,0.005,6.603,0.034,23.2,1.063,0.4,0.035,0.02,0.007,0.3684,0.2605,34.4,2.065,0.259,0.005,NA
"COMO","COMO.SS.20170510","5/10/17 20:00",1.545,11.82,3.9527,1.5633,6.98,0.0913,0.2369,0,0.006,0.457,0.2181,0.1823,6.683,6e-04,8,200,0.2493,2.5334,0.005,0.005,6.969,0.004,21.07,0.577,0.208,0,0.018,0.029,0.313,0.1796,27.15,1.1856,0.1791,0.005,NA
"COMO","COMO.SS.20170517","5/17/17 17:35",1.062,7.73,3.68,1.43,6.06,0.051,0.33,0,0.008,0.3715,0.2038,0.097,6.245,0.001,1,100,0.171,1.618,0.014,0.005,6.285,0.003,12.2,0.423,0.13,0,0.012,0.049,0.2917,0.1668,17.4,1.002,0.2483,0.005,NA
"COMO","COMO.SS.20170525","5/25/17 16:10",1.245,6.17,3.79,1.49,6.83,0.0827,0.38,0,0.008,0.3665,0.1972,0.121,5.348,5e-04,12,300,0.13,1.426,0.006,0.005,5.198,0.005,11.1,0.334,0.12,0.003,0.012,0.048,0.2824,0.1663,15.8,0.927,0.1567,0.005,NA
"COMO","COMO.SS.20170605","6/5/17 17:00",0.9179,6.95,3.12,1.58,7.33,0.1439,0.3,0,0.011,0.4503,0.2276,0.081,6.399,5e-04,12,300,0.121,1.632,0.017,0.005,6.959,0.015,11.3,0.403,0.11,0.022,0.003,0.064,0.332,0.1533,16.8,0.8,0.1837,0.005,NA
"COMO","COMO.SS.20170612","6/12/17 15:20",0.8466,6.35,2.74,1.32,6.87,0.0285,0,0,0.004,0.6458,0.1863,0.047,5.465,5e-04,12,300,0.096,1.51,0.009,0.005,5.284,0.007,9.8,0.316,0.11,0.02,0.003,0.005,0.2681,0.1681,13.8,0.659,0.1645,0.005,NA
"COMO","COMO.SS.20170614","6/14/17 17:20",0.7026,6.75,2.7829,1.5083,6.9,0,0,0,0.004,0.3198,0.1656,0.0414,4.489,5e-04,4,400,0.0862,1.0351,0.001,0.005,4.883,5e-04,12.9,0.63,0.13,0.02,0.008,0.068,0.2389,0.2342,18.1,0.7157,0.239,0.005,NA
"COMO","COMO.SS.20170620","6/20/17 15:30",2.143,4.75,2.5778,1.3078,8.23,0.0384,0,0,0,0.4144,0.1601,0.0378,4.529,5e-04,1,100,0.0669,1.1301,0.003,0.005,4.513,5e-04,14.9,0.2029,0.09,0.005,0.027,0.09,0.2317,0.2272,20.3,0.6364,0.2002,0.005,NA
"COMO","COMO.SS.20170629","6/29/17 15:01",1.134,5.69,3.0249,1.3192,7.99,0.0484,0.005,0,0.002,0.2705,0.1452,0.04,4.057,5e-04,1,100,0.0676,1.3521,0.3588,0.005,4.072,0.0037,9.8,0.2252,0.13,0.008,0.044,0.073,0.206,0.113,13.2,0.7672,0.1085,0.005,NA
"COMO","COMO.SS.20170706","7/6/17 15:43",1.397,6.49,3.2187,1.342,7.14,0.0028,0.005,0,0.014,0.332,0.1227,0.034,3.312,5e-04,1,100,0.0619,1.3919,0.01,0.005,3.598,0.0084,9.85,0.3331,0.117,0.02,0.026,0.202,0.172,0.1032,21.2,0.8145,0.1212,0.005,NA
"COMO","COMO.SS.20170710","7/10/17 15:38",NA,6.31,3.4317,1.3471,7.25,0.071,0.005,0,NA,0.5563,0.1136,0.0381,NA,0.0015,3,300,0.0641,1.3671,0.005,0.005,NA,0.0029,9.87,0.2715,0.114,NA,NA,NA,0.1634,NA,20.66,0.8929,NA,0.005,NA
"COMO","COMO.SS.20170717","7/17/17 15:39",2.026,6.86,3.8054,1.3209,7.23,0.0857,0.005,0,0,0.3606,0.1122,0.0312,3.136,5e-04,4,400,0.0621,1.3876,0.032,0.005,3.254,0.0171,9.67,0.315,0.115,0,0.023,0.091,0.1554,0.1272,23.28,0.9827,0.1384,0.005,NA
"COMO","COMO.SS.20170725","7/25/17 15:20",2.305,10.32,4.5064,1.3556,7.46,0.0884,0.005,0,0.0134,0.3679,0.0983,0.0351,3.131,5e-04,4,400,0.1002,2.1002,0.0335,0.005,2.878,0.0116,13.85,0.4565,0.18,0.1224,0.038,0.0237,0.1372,0.1321,27.95,1.1897,0.0999,0.005,NA
"COMO","COMO.SS.20170808","8/8/17 14:57",2.08,11.33,3.7358,1.0691,7.37,0.0495,0.2932,0,6e-04,0.3632,0.1656,0.1579,6.249,0.0052,2,100,0.1451,1.9497,0.0109,0.005,6.478,0.0078,12.15,0.4755,0.19,0.0464,0.03,0.0517,0.2392,0.1889,17.3,1.0323,0.2232,0.005,NA
"COMO","COMO.SS.20170822","8/22/17 15:55",3.208,14.19,4.9148,1.4368,7.45,0.0187,0.2905,0,0.0043,0.5694,0.058,0.0228,1.963,0.0115,8,400,0.1609,2.312,0.001,0.005,1.994,5e-04,17.1,0.6524,0.27,0.0529,0.029,0.0348,0.0811,0.0106,24.1,1.3446,0.0233,0.005,NA
"COMO","COMO.SS.20170911","9/11/17 15:35",4.248,25.47,2.2715,1.4038,7.39,NA,0.304,0,0.0271,NA,0.049,0.0477,1.861,0.0036,4,200,0.4143,4.6935,0.002,0.005,1.888,8e-04,32.9,1.2487,0.529,0.0475,0.021,0.0242,0.0728,0.0235,45.3,2.099,0.0437,0.005,NA
"COMO","COMO.SS.20170925","9/25/17 16:33",3.367,18.96,4.8211,1.3881,7.23,0.0131,0.9045,0,0.0123,0.3743,0.1046,0.1844,3.376,0.0093,4,200,0.4547,3.7878,0.0479,0.005,3.554,0.0131,28.4,0.9812,0.356,0.0322,0.004,0.094,0.1498,0,39.92,1.6741,0,0.005,NA
"COMO","COMO.SS.20170925.2","9/25/17 16:33",NA,NA,NA,NA,7.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,100,NA,NA,0.0258,NA,3.458,NA,NA,NA,0.315,NA,NA,NA,NA,NA,39.41,NA,0,NA,NA
"COMO","COMO.SS.20171012","10/12/17 15:15",2.42,14.53,2,1.75,6.8,0,0.5,0.005,0.0059,0.3665,0.1768,0.247,5.074,0.002,4,200,0.328,3.11,0.034,0.005,5.045,0.021,21.6,0.817,0.26,0.0273,0.006,0.1121,0.246,0.1882,29.5,1.292,0.1805,0.005,NA
"COMO","COMO.SS.20171115","11/15/17 19:00",3.613,3.15,0.28,4.4,7.24,0.0512,4.29,0.005,0.0289,0.4185,0.103,0.11,2.844,5e-04,2,100,5e-04,4.562,0.022,0.005,3.099,0.02,28.4,0.984,0.06,0.061,0.019,0.1167,0.1435,0,39.4,1.6359,0,0.005,NA
"COMO","COMO.SS.20171211","12/11/17 17:20",4.223,7.69,0.29,10.42,6.75,0.0908,6.98,0.005,0.0087,0.414,0.0726,0.046,2.506,5e-04,2,100,0.012,7.489,0.013,0.005,2.311,0.009,57.9,2.112,0.135,0.0459,0.009,0.1067,0.1023,0.1033,40.58,5.694,0.0564,0.005,NA
"COMO","COMO.SS.20180116","1/16/18 19:09",4.116,15.89,0.28,1.94,6.93,0.0757,2.89,0.005,0.0148,0.3092,0.0935,0.119,2.559,5e-04,0,0,0.279,6.445,0.005,0.61,2.777,0.001,39.5,0.602,0.32,0.0568,0.028,0.0917,0.1345,0.1204,55.41,3.697,0.1429,0.005,NA
"COMO","COMO.SS.20180220","2/20/18 18:20",3.67,17.31,6.13,1.56,6.75,0.0496,0.5,0.005,0.0125,0.3198,0.095,0.099,3.021,5e-04,0,0,0.225,2.987,5e-04,0.005,3.015,5e-04,26.5,0.783,0.35,0.0575,0.032,0.1171,0.1346,0.1314,38.61,2.532,0.1396,0.005,NA
"COMO","COMO.SS.20180320","3/20/18 16:47",3.868,10.21,7.12,1.66,6.61,0.0757,6.61,0.005,0.0161,0.4052,0.0942,0.089,2.983,5e-04,0,0,0.303,3.65,0.005,0.005,3.239,0.001,31.25,0.981,0.18,0.0537,0.038,0.0097,0.1367,0.0525,42.79,2.735,0.0551,0.005,NA
"COMO","COMO.SS.20180424","4/24/18 17:03",3.47,9.12,5.6178,1.3508,6.52,0.1356,4.6086,0.005,0.0154,0.4505,0.3616,0.4844,9.443,5e-04,4,200,0.4439,4.1895,0.0192,0.005,9.774,5e-04,29.8,1.0243,0.16,0.0208,0.064,0.008,0.5112,0.3314,40.82,0.053,0.3267,0.005,NA
"COMO","COMO.SS.20180514","5/14/18 16:55",1.355,4.35,2.9096,1.3587,6.56,0.1468,3.212,0.005,0.0164,0.3339,0.2961,0.1741,9.097,5e-04,2,100,0.1867,3.141,0.008,0.005,9.435,0.0017,14.21,0.3457,0.089,0.0081,0.018,0.0252,0.4289,0.4359,19.6,0.215,0.45,0.005,NA
"COMO","COMO.SS.20180522","5/22/18 16:37",1.086,4.36,3.1157,1.5023,6.78,0.1371,4.467,0.005,0.0187,0.3242,0.2283,0.0961,6.866,5e-04,4,200,0.1067,3.674,0.0638,0.005,6.955,5e-04,10.95,0.523,0.084,0.0087,0.019,0.0502,0.3307,0.331,16.37,0.859,0.329,0.005,NA
"COMO","COMO.SS.20180611","6/11/18 15:15",1.303,5.42,3.5423,0.228,6.53,0.1486,1.821,0.005,0.0141,0.3848,0.1605,0.0549,4.91,5e-04,18,900,5e-04,1.4339,0.007,0.005,5.167,0.0162,10.283,0.439,0.12,0.004,0.013,0.0228,0.2351,0.1359,14.69,0.856,0.1295,0.005,NA
"COMO","COMO.SS.20180613","6/13/18 15:24",1.461,7.25,3.5784,0.21,6.8,0.1293,1.6099,0.005,0.0143,0.3529,0.1515,0.0497,4.457,5e-04,2,100,5e-04,1.6238,0.002,0.005,4.685,5e-04,11.375,0.488,0.15,0.0104,0.032,0.0271,0.2205,0.1199,16.25,0.909,0.1211,0.005,NA
"COMO","COMO.SS.20180619","6/19/18 15:51",1.219,7.28,3.8143,0.005,6.76,0.0739,2.2495,0.005,0.029,0.314,0.1856,0.0803,5.749,5e-04,0,0,5e-04,1.998,0.0741,0.15,5.75,0.002,14.378,0.561,0.15,0.0337,0.015,0.0169,0.271,0.1431,20.54,1.021,0.1405,0.005,NA
"COMO","COMO.SS.20180626","6/26/18 15:25",1.83,6.21,3.4977,0.38,7.37,0.0555,2.69,0.005,0.0188,0.4703,0.1301,0.0438,3.485,5e-04,2,100,0.088,3.658,0.0345,1.652,3.719,5e-04,19.187,0.463,0.12,0.0052,0.018,0.0053,0.1853,0.2095,27.41,0.962,0.2473,0.005,NA
"COMO","COMO.SS.20180628","6/28/18 17:11",1.804,4.9,3.6607,0.43,6.83,0.1095,2.53,0.005,0.0131,0.4911,0.119,0.0384,3.513,5e-04,8,400,0.091,3.175,0.0268,2.15,3.4,5e-04,19.502,0.742,0.16,0.002,0.012,0,0.171,0.2253,27.86,0.992,0.2139,0.005,NA
"COMO","COMO.SS.20180712","7/12/18 14:52",2.738,13.28,5.22,1.62,6.94,0.1353,0.024,0.005,0.0112,0.5212,0.0751,0.0279,2.596,5e-04,2,100,5e-04,2.505,0.043,0.005,2.647,0.004,18.3,0.782,0.28,0.0037,0.012,0,0.1088,0.0863,25.61,1.26,0.092,0.005,NA
"COMO","COMO.SS.20180717","7/17/18 16:46",2.775,12.98,4.9,1.278,7.38,0.0748,0.005,0.005,0.0124,0.3062,0.0893,0.0257,2.84,5e-04,4,200,0.083,2.474,0.042,0.005,2.853,5e-04,16.9,0.795,0.28,0.0073,0.011,0,0.1275,0.0864,25.63,1.267,0.1105,0.005,NA
"COMO","COMO.SS.20180723","7/23/18 16:45",2.694,13.96,4.65,1.254,7.24,0.0846,0.005,0.005,0.019,0.376,0.1102,0.0439,3.567,5e-04,0,0,0.126,2.192,0.003,0.005,3.688,5e-04,18.7,0.977,0.35,0.0167,0.012,0.0413,0.1561,0.1295,25.63,1.194,0.1349,0.005,NA
