uid,domainID,siteID,namedLocation,collectDate,parentSampleID,parentSampleCode,isotopeH2OSampleCond,isotopeH2OSampleID,isotopeH2OSampleCode,isotopePOMRep2SampleCond,isotopePOMRep2SampleID,isotopePOMRep2SampleCode,isotopePOMSampleCond,isotopePOMSampleID,isotopePOMSampleCode,processedDateFilters,processedDateH2OIsotopes,sampleVolumeFilteredPOMRep1,sampleVolumeFilteredPOMRep2,fieldDataQF
"02171846-1d8e-439f-85b6-640cbef919e6","D02","LEWI","LEWI.AOS.S2","2017-01-11T14:30Z","LEWI.SS.20170111",,,"LEWI.SS.20170111.H2O.1",,,"LEWI.SS.20170111.POM.2",,,"LEWI.SS.20170111.POM.1",,"2017-01-11T11:20Z","2017-01-11T11:40Z",1200,1200,
"aedec273-e3b5-4d0f-8f3b-7e3444c9f1f5","D02","LEWI","LEWI.AOS.S2","2017-01-25T15:16Z","LEWI.SS.20170125",,"Sample condition ok","LEWI.SS.20170125.H2O.1",,"Sample condition ok","LEWI.SS.20170125.POM.2",,"Sample condition ok","LEWI.SS.20170125.POM.1",,"2017-08-16T16:10Z","2017-08-16T16:34Z",200,200,
